          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

 GAIA (2010)    BP   83    0.312 (0.0878)    0.486  0.262 (0.0126)   -0.080  0.654 (0.0004)
 GAIA (2010)    RP   84    0.211 (0.0598)    0.326  0.174 (0.0111)   -0.050  0.434 (0.0029)
 GAIA (2010)  G_RV   85    0.169 (0.0485)    0.261  0.137 (0.0111)   -0.037  0.344 (0.0046)
 Milone        230   86    0.620 (0.0744)    0.780  0.239 (0.0017)    0.262  0.597 (0.0099)
               250   87    0.571 (0.0738)    0.726  0.233 (0.0038)    0.221  0.584 (0.0075)
               270   88    0.524 (0.0719)    0.674  0.225 (0.0055)    0.187  0.562 (0.0054)
               290   89    0.481 (0.0699)    0.625  0.216 (0.0068)    0.157  0.540 (0.0038)
               310   90    0.439 (0.0672)    0.576  0.205 (0.0079)    0.131  0.513 (0.0023)
               330   91    0.402 (0.0644)    0.532  0.194 (0.0088)    0.111  0.486 (0.0014)
 CaII triplet  858   92    0.168 (0.0465)    0.256  0.131 (0.0109)   -0.029  0.328 (0.0048)
 WIRE  Johnson V+R   93    0.268 (0.0757)    0.417  0.224 (0.0118)   -0.068  0.560 (0.0011)
               LUT   94    0.491 (0.0714)    0.638  0.221 (0.0064)    0.159  0.553 (0.0043)
              TESS   95    0.222 (0.0632)    0.345  0.184 (0.0113)   -0.055  0.461 (0.0025)


          Teff = 17000 K,  log g = 5.0,  [M/H] = -4.5

 bolometric           0    0.749 (0.0342)    0.824  0.112 (0.0008)    0.581  0.281 (0.0061)
 Stromgren      u     1    0.373 (0.0629)    0.498  0.188 (0.0097)    0.091  0.469 (0.0014)
                v     2    0.344 (0.1035)    0.549  0.308 (0.0145)   -0.119  0.771 (0.0008)
                b     3    0.334 (0.0965)    0.525  0.287 (0.0136)   -0.097  0.718 (0.0008)
                y     4    0.292 (0.0836)    0.458  0.249 (0.0121)   -0.081  0.622 (0.0004)
 Johnson        U     5    0.343 (0.0732)    0.487  0.216 (0.0118)    0.018  0.541 (0.0016)
                B     6    0.335 (0.0996)    0.532  0.297 (0.0141)   -0.110  0.742 (0.0006)
                V     7    0.293 (0.0839)    0.460  0.250 (0.0122)   -0.081  0.624 (0.0004)
                R     8    0.241 (0.0675)    0.374  0.199 (0.0110)   -0.057  0.497 (0.0015)
                I     9    0.186 (0.0535)    0.290  0.155 (0.0102)   -0.046  0.387 (0.0029)
                J    10    0.147 (0.0448)    0.233  0.128 (0.0092)   -0.045  0.321 (0.0032)
                K    11    0.089 (0.0286)    0.141  0.079 (0.0076)   -0.029  0.197 (0.0039)
                L    12    0.059 (0.0221)    0.098  0.058 (0.0069)   -0.029  0.146 (0.0041)
                M    13    0.044 (0.0191)    0.077  0.049 (0.0067)   -0.029  0.122 (0.0044)
                N    14    0.030 (0.0182)    0.060  0.045 (0.0071)   -0.038  0.113 (0.0050)
 Cousins        Rc   15    0.251 (0.0706)    0.390  0.208 (0.0112)   -0.062  0.521 (0.0013)
                Ic   16    0.204 (0.0555)    0.312  0.162 (0.0100)   -0.038  0.405 (0.0023)
 Bessell        UX   17    0.352 (0.0716)    0.494  0.212 (0.0113)    0.034  0.531 (0.0014)
 Bessell        BX   18    0.334 (0.0995)    0.532  0.296 (0.0141)   -0.110  0.741 (0.0006)
 Bessell        B    19    0.335 (0.0996)    0.533  0.297 (0.0141)   -0.110  0.742 (0.0006)
 Bessell        V    20    0.293 (0.0838)    0.459  0.249 (0.0122)   -0.081  0.623 (0.0004)
 Bessell        R    21    0.251 (0.0705)    0.390  0.208 (0.0112)   -0.062  0.521 (0.0013)
 Bessell        I    22    0.199 (0.0544)    0.305  0.158 (0.0100)   -0.039  0.396 (0.0025)
 Tycho         TyB   23    0.336 (0.0994)    0.533  0.296 (0.0143)   -0.108  0.739 (0.0005)
               TyV   24    0.299 (0.0864)    0.470  0.257 (0.0126)   -0.086  0.642 (0.0004)
 Hipparchos    HIP   25    0.315 (0.0915)    0.497  0.272 (0.0133)   -0.093  0.680 (0.0004)
 KEPLER              26    0.283 (0.0810)    0.443  0.240 (0.0122)   -0.078  0.601 (0.0007)
 COROT SIS           27    0.288 (0.0826)    0.451  0.245 (0.0124)   -0.079  0.613 (0.0007)
 COROT EXO           28    0.286 (0.0819)    0.447  0.243 (0.0123)   -0.079  0.607 (0.0007)
 Geneva         U    29    0.377 (0.0636)    0.503  0.190 (0.0097)    0.091  0.475 (0.0013)
                B    30    0.335 (0.1001)    0.534  0.298 (0.0144)   -0.111  0.744 (0.0006)
                B1   31    0.331 (0.0998)    0.529  0.296 (0.0148)   -0.113  0.740 (0.0007)
                B2   32    0.337 (0.0992)    0.534  0.296 (0.0139)   -0.107  0.739 (0.0008)
                V    33    0.294 (0.0839)    0.460  0.250 (0.0122)   -0.081  0.624 (0.0004)
                V1   34    0.297 (0.0849)    0.465  0.253 (0.0123)   -0.083  0.632 (0.0003)
                G    35    0.277 (0.0786)    0.432  0.233 (0.0117)   -0.074  0.584 (0.0006)
 Vilnius        U    36    0.380 (0.0637)    0.507  0.191 (0.0095)    0.094  0.476 (0.0013)
                P    37    0.315 (0.0742)    0.460  0.217 (0.0129)   -0.011  0.543 (0.0026)
                X    38    0.338 (0.1028)    0.542  0.306 (0.0148)   -0.121  0.764 (0.0006)
                Y    39    0.333 (0.0966)    0.525  0.288 (0.0135)   -0.098  0.719 (0.0008)
                Z    40    0.308 (0.0882)    0.483  0.263 (0.0127)   -0.087  0.657 (0.0004)
                V    41    0.294 (0.0839)    0.460  0.250 (0.0121)   -0.081  0.625 (0.0004)
                S    42    0.231 (0.0663)    0.360  0.195 (0.0112)   -0.062  0.487 (0.0019)
 Milone         iz   43    0.169 (0.0519)    0.268  0.150 (0.0102)   -0.056  0.374 (0.0031)
                iJ   44    0.143 (0.0434)    0.226  0.125 (0.0090)   -0.044  0.311 (0.0031)
                iH   45    0.107 (0.0331)    0.168  0.093 (0.0081)   -0.032  0.232 (0.0037)
                iK   46    0.086 (0.0278)    0.136  0.076 (0.0076)   -0.028  0.190 (0.0040)
 YMS94         iz    47    0.169 (0.0520)    0.269  0.150 (0.0102)   -0.056  0.374 (0.0031)
               iJ    48    0.143 (0.0434)    0.226  0.125 (0.0090)   -0.044  0.311 (0.0031)
               iH    49    0.107 (0.0331)    0.168  0.093 (0.0081)   -0.032  0.232 (0.0037)
               iK    50    0.086 (0.0278)    0.136  0.076 (0.0076)   -0.028  0.190 (0.0040)
               iL    51    0.055 (0.0216)    0.094  0.058 (0.0067)   -0.031  0.144 (0.0040)
               iLp   52    0.051 (0.0205)    0.087  0.054 (0.0067)   -0.029  0.134 (0.0042)
               iM    53    0.039 (0.0187)    0.071  0.048 (0.0065)   -0.032  0.119 (0.0043)
               in    54    0.030 (0.0183)    0.061  0.046 (0.0070)   -0.038  0.114 (0.0049)
               iN    55    0.029 (0.0183)    0.059  0.045 (0.0073)   -0.039  0.112 (0.0052)
 Sloan DSS      u    56    0.364 (0.0670)    0.497  0.199 (0.0105)    0.065  0.498 (0.0014)
                g    57    0.324 (0.0952)    0.513  0.283 (0.0135)   -0.101  0.709 (0.0006)
                r    58    0.259 (0.0731)    0.403  0.216 (0.0114)   -0.066  0.541 (0.0011)
                i    59    0.212 (0.0580)    0.325  0.169 (0.0102)   -0.042  0.424 (0.0021)
                z    60    0.171 (0.0518)    0.270  0.149 (0.0104)   -0.053  0.373 (0.0033)
 HST STIS Ly_alpha   61    0.991 (0.0136)    0.973 -0.027 (0.0074)    1.031 -0.066 (0.0061)
            Fclear   62    0.910 (0.0229)    0.965  0.084 (0.0070)    0.784  0.210 (0.0110)
             Fsrf2   63    0.867 (0.0394)    0.959  0.137 (0.0066)    0.662  0.343 (0.0131)
              Fqtz   64    0.820 (0.0549)    0.944  0.186 (0.0053)    0.540  0.466 (0.0142)
              CIII   65    0.706 (0.0748)    0.869  0.244 (0.0009)    0.340  0.611 (0.0125)
              MgII   66    0.500 (0.0729)    0.650  0.225 (0.0069)    0.162  0.564 (0.0041)
            Nclear   67    0.734 (0.0580)    0.862  0.191 (0.0015)    0.448  0.478 (0.0107)
             Nsrf2   68    0.694 (0.0671)    0.840  0.218 (0.0005)    0.366  0.546 (0.0107)
              Nqtz   69    0.676 (0.0701)    0.828  0.227 (0.0005)    0.335  0.568 (0.0106)
             cn182   70    0.752 (0.0647)    0.894  0.214 (0.0025)    0.430  0.535 (0.0128)
             cn270   71    0.526 (0.0744)    0.680  0.232 (0.0062)    0.178  0.579 (0.0051)
            Oclear   72    0.314 (0.0804)    0.473  0.239 (0.0117)   -0.046  0.598 (0.0004)
         Oclear-lp   73    0.234 (0.0660)    0.363  0.194 (0.0109)   -0.057  0.485 (0.0017)
             [OII]   74    0.281 (0.0593)    0.394  0.169 (0.0127)    0.027  0.423 (0.0047)
            [OIII]   75    0.310 (0.0907)    0.490  0.269 (0.0133)   -0.093  0.673 (0.0007)
 2MASS          J    76    0.146 (0.0440)    0.230  0.126 (0.0091)   -0.043  0.315 (0.0031)
 2MASS          H    77    0.108 (0.0333)    0.170  0.093 (0.0081)   -0.032  0.233 (0.0037)
 2MASS          Ks   78    0.089 (0.0284)    0.141  0.078 (0.0076)   -0.028  0.195 (0.0039)
 SWASP               79    0.302 (0.0876)    0.476  0.260 (0.0128)   -0.088  0.651 (0.0004)
 MOST                80    0.298 (0.0861)    0.468  0.256 (0.0126)   -0.086  0.639 (0.0005)
 GAIA (2006)    G    81    0.294 (0.0837)    0.460  0.249 (0.0125)   -0.079  0.621 (0.0006)
 GAIA (2010)    G    82    0.284 (0.0809)    0.444  0.240 (0.0122)   -0.076  0.600 (0.0007)
 GAIA (2010)    BP   83    0.307 (0.0876)    0.481  0.260 (0.0128)   -0.083  0.651 (0.0004)
 GAIA (2010)    RP   84    0.208 (0.0585)    0.322  0.171 (0.0104)   -0.048  0.427 (0.0023)
 GAIA (2010)  G_RV   85    0.173 (0.0458)    0.260  0.132 (0.0095)   -0.025  0.329 (0.0033)
 Milone        230   86    0.620 (0.0777)    0.785  0.248 (0.0030)    0.249  0.619 (0.0090)
               250   87    0.570 (0.0764)    0.731  0.240 (0.0049)    0.210  0.601 (0.0068)
               270   88    0.524 (0.0742)    0.678  0.231 (0.0063)    0.178  0.577 (0.0049)
               290   89    0.480 (0.0718)    0.627  0.221 (0.0074)    0.148  0.553 (0.0035)
               310   90    0.439 (0.0688)    0.578  0.209 (0.0084)    0.125  0.523 (0.0021)
               330   91    0.402 (0.0658)    0.534  0.199 (0.0090)    0.104  0.496 (0.0014)
 CaII triplet  858   92    0.174 (0.0442)    0.259  0.127 (0.0091)   -0.017  0.318 (0.0032)
 WIRE  Johnson V+R   93    0.265 (0.0752)    0.414  0.222 (0.0116)   -0.068  0.556 (0.0010)
               LUT   94    0.490 (0.0733)    0.641  0.226 (0.0071)    0.151  0.565 (0.0039)
              TESS   95    0.220 (0.0620)    0.341  0.182 (0.0107)   -0.053  0.454 (0.0021)


          Teff = 18000 K,  log g = 2.5,  [M/H] = -4.5

 bolometric           0    0.672 (0.0052)    0.686  0.020 (0.0023)    0.642  0.050 (0.0033)
 Stromgren      u     1    0.412 (0.0710)    0.553  0.211 (0.0108)    0.095  0.529 (0.0010)
                v     2    0.432 (0.0843)    0.609  0.266 (0.0038)    0.032  0.666 (0.0093)
                b     3    0.399 (0.0893)    0.584  0.277 (0.0071)   -0.016  0.692 (0.0064)
                y     4    0.352 (0.0929)    0.538  0.279 (0.0123)   -0.066  0.697 (0.0012)
 Johnson        U     5    0.414 (0.0772)    0.572  0.236 (0.0081)    0.060  0.591 (0.0033)
                B     6    0.417 (0.0864)    0.598  0.271 (0.0052)    0.011  0.676 (0.0080)
                V     7    0.354 (0.0925)    0.539  0.278 (0.0121)   -0.063  0.695 (0.0014)
                R     8    0.296 (0.0919)    0.473  0.265 (0.0180)   -0.101  0.662 (0.0053)
                I     9    0.243 (0.0919)    0.413  0.255 (0.0229)   -0.139  0.637 (0.0107)
                J    10    0.196 (0.0874)    0.352  0.234 (0.0257)   -0.156  0.586 (0.0145)
                K    11    0.121 (0.0699)    0.238  0.175 (0.0263)   -0.141  0.437 (0.0180)
                L    12    0.081 (0.0558)    0.171  0.134 (0.0233)   -0.120  0.336 (0.0170)
                M    13    0.061 (0.0471)    0.135  0.111 (0.0205)   -0.106  0.278 (0.0153)
                N    14    0.040 (0.0367)    0.098  0.087 (0.0157)   -0.091  0.218 (0.0116)
 Cousins        Rc   15    0.307 (0.0925)    0.487  0.269 (0.0169)   -0.095  0.671 (0.0040)
                Ic   16    0.252 (0.0893)    0.417  0.248 (0.0221)   -0.121  0.620 (0.0102)
 Bessell        UX   17    0.417 (0.0757)    0.571  0.231 (0.0084)    0.070  0.578 (0.0028)
 Bessell        BX   18    0.416 (0.0865)    0.597  0.271 (0.0053)    0.010  0.677 (0.0079)
 Bessell        B    19    0.417 (0.0864)    0.598  0.271 (0.0052)    0.011  0.676 (0.0080)
 Bessell        V    20    0.353 (0.0926)    0.539  0.278 (0.0121)   -0.064  0.695 (0.0013)
 Bessell        R    21    0.307 (0.0924)    0.486  0.268 (0.0169)   -0.095  0.671 (0.0041)
 Bessell        I    22    0.249 (0.0902)    0.416  0.251 (0.0223)   -0.127  0.626 (0.0104)
 Tycho         TyB   23    0.423 (0.0852)    0.602  0.268 (0.0047)    0.021  0.670 (0.0084)
               TyV   24    0.364 (0.0919)    0.549  0.278 (0.0110)   -0.053  0.695 (0.0025)
 Hipparchos    HIP   25    0.389 (0.0884)    0.570  0.272 (0.0083)   -0.018  0.679 (0.0049)
 KEPLER              26    0.345 (0.0911)    0.526  0.272 (0.0129)   -0.063  0.680 (0.0004)
 COROT SIS           27    0.355 (0.0899)    0.535  0.270 (0.0119)   -0.050  0.675 (0.0012)
 COROT EXO           28    0.351 (0.0900)    0.531  0.270 (0.0122)   -0.053  0.675 (0.0009)
 Geneva         U    29    0.417 (0.0712)    0.559  0.213 (0.0102)    0.097  0.533 (0.0008)
                B    30    0.424 (0.0854)    0.603  0.269 (0.0045)    0.021  0.672 (0.0086)
                B1   31    0.432 (0.0841)    0.609  0.266 (0.0037)    0.032  0.665 (0.0093)
                B2   32    0.411 (0.0877)    0.593  0.274 (0.0059)    0.000  0.684 (0.0074)
                V    33    0.353 (0.0927)    0.539  0.278 (0.0121)   -0.064  0.696 (0.0013)
                V1   34    0.357 (0.0926)    0.543  0.279 (0.0118)   -0.062  0.697 (0.0017)
                G    35    0.335 (0.0932)    0.519  0.276 (0.0142)   -0.080  0.691 (0.0009)
 Vilnius        U    36    0.419 (0.0704)    0.559  0.211 (0.0102)    0.103  0.526 (0.0008)
                P    37    0.407 (0.0815)    0.575  0.251 (0.0075)    0.030  0.628 (0.0046)
                X    38    0.434 (0.0839)    0.611  0.266 (0.0035)    0.035  0.664 (0.0096)
                Y    39    0.399 (0.0892)    0.584  0.277 (0.0070)   -0.015  0.691 (0.0064)
                Z    40    0.369 (0.0920)    0.555  0.279 (0.0104)   -0.050  0.698 (0.0031)
                V    41    0.353 (0.0928)    0.539  0.279 (0.0122)   -0.065  0.697 (0.0013)
                S    42    0.297 (0.0922)    0.474  0.266 (0.0180)   -0.101  0.665 (0.0052)
 Milone         iz   43    0.225 (0.0927)    0.395  0.254 (0.0243)   -0.157  0.636 (0.0121)
                iJ   44    0.190 (0.0865)    0.344  0.231 (0.0259)   -0.157  0.577 (0.0150)
                iH   45    0.150 (0.0800)    0.287  0.205 (0.0278)   -0.158  0.513 (0.0180)
                iK   46    0.118 (0.0689)    0.232  0.172 (0.0261)   -0.140  0.430 (0.0180)
 YMS94         iz    47    0.225 (0.0927)    0.395  0.255 (0.0243)   -0.157  0.636 (0.0121)
               iJ    48    0.190 (0.0865)    0.344  0.231 (0.0259)   -0.157  0.577 (0.0150)
               iH    49    0.150 (0.0800)    0.287  0.205 (0.0278)   -0.158  0.513 (0.0180)
               iK    50    0.118 (0.0689)    0.232  0.172 (0.0261)   -0.140  0.430 (0.0180)
               iL    51    0.076 (0.0535)    0.161  0.128 (0.0228)   -0.115  0.319 (0.0168)
               iLp   52    0.072 (0.0517)    0.153  0.122 (0.0224)   -0.112  0.305 (0.0167)
               iM    53    0.060 (0.0472)    0.134  0.111 (0.0208)   -0.107  0.277 (0.0155)
               in    54    0.040 (0.0368)    0.098  0.087 (0.0159)   -0.091  0.218 (0.0117)
               iN    55    0.038 (0.0357)    0.095  0.085 (0.0151)   -0.090  0.213 (0.0111)
 Sloan DSS      u    56    0.418 (0.0735)    0.567  0.223 (0.0091)    0.084  0.557 (0.0017)
                g    57    0.397 (0.0889)    0.580  0.275 (0.0074)   -0.015  0.687 (0.0059)
                r    58    0.317 (0.0928)    0.498  0.271 (0.0161)   -0.091  0.679 (0.0030)
                i    59    0.261 (0.0899)    0.429  0.252 (0.0212)   -0.117  0.629 (0.0092)
                z    60    0.236 (0.0947)    0.411  0.262 (0.0237)   -0.157  0.656 (0.0111)
 HST STIS Ly_alpha   61    0.821 (0.0444)    0.731 -0.135 (0.0046)    1.024 -0.338 (0.0020)
            Fclear   62    0.796 (0.0328)    0.736 -0.091 (0.0073)    0.933 -0.228 (0.0029)
             Fsrf2   63    0.781 (0.0256)    0.738 -0.064 (0.0088)    0.877 -0.160 (0.0057)
              Fqtz   64    0.761 (0.0156)    0.745 -0.023 (0.0106)    0.796 -0.059 (0.0094)
              CIII   65    0.689 (0.0199)    0.740  0.077 (0.0103)    0.574  0.192 (0.0140)
              MgII   66    0.522 (0.0592)    0.649  0.190 (0.0014)    0.237  0.476 (0.0078)
            Nclear   67    0.686 (0.0130)    0.720  0.051 (0.0070)    0.610  0.127 (0.0095)
             Nsrf2   68    0.666 (0.0211)    0.718  0.079 (0.0072)    0.548  0.197 (0.0110)
              Nqtz   69    0.656 (0.0248)    0.717  0.091 (0.0071)    0.520  0.228 (0.0115)
             cn182   70    0.713 (0.0102)    0.739  0.039 (0.0098)    0.655  0.097 (0.0117)
             cn270   71    0.544 (0.0556)    0.665  0.182 (0.0005)    0.271  0.454 (0.0091)
            Oclear   72    0.379 (0.0846)    0.550  0.256 (0.0104)   -0.004  0.639 (0.0019)
         Oclear-lp   73    0.290 (0.0922)    0.467  0.265 (0.0185)   -0.107  0.661 (0.0059)
             [OII]   74    0.391 (0.0889)    0.574  0.274 (0.0078)   -0.020  0.686 (0.0055)
            [OIII]   75    0.374 (0.0910)    0.559  0.276 (0.0100)   -0.040  0.691 (0.0034)
 2MASS          J    76    0.192 (0.0868)    0.347  0.232 (0.0258)   -0.156  0.581 (0.0148)
 2MASS          H    77    0.149 (0.0795)    0.285  0.204 (0.0277)   -0.156  0.509 (0.0180)
 2MASS          Ks   78    0.120 (0.0697)    0.237  0.174 (0.0262)   -0.141  0.436 (0.0180)
 SWASP               79    0.370 (0.0902)    0.552  0.274 (0.0103)   -0.041  0.684 (0.0029)
 MOST                80    0.363 (0.0905)    0.545  0.273 (0.0110)   -0.047  0.684 (0.0022)
 GAIA (2006)    G    81    0.361 (0.0894)    0.540  0.269 (0.0113)   -0.043  0.673 (0.0017)
 GAIA (2010)    G    82    0.349 (0.0900)    0.528  0.269 (0.0125)   -0.055  0.673 (0.0005)
 GAIA (2010)    BP   83    0.377 (0.0890)    0.557  0.271 (0.0098)   -0.030  0.677 (0.0033)
 GAIA (2010)    RP   84    0.264 (0.0914)    0.435  0.257 (0.0211)   -0.121  0.642 (0.0088)
 GAIA (2010)  G_RV   85    0.230 (0.0963)    0.407  0.266 (0.0245)   -0.170  0.665 (0.0117)
 Milone        230   86    0.621 (0.0393)    0.713  0.137 (0.0064)    0.415  0.344 (0.0130)
               250   87    0.580 (0.0486)    0.689  0.163 (0.0033)    0.335  0.409 (0.0111)
               270   88    0.542 (0.0560)    0.663  0.183 (0.0004)    0.268  0.457 (0.0090)
               290   89    0.505 (0.0617)    0.636  0.196 (0.0028)    0.211  0.490 (0.0067)
               310   90    0.470 (0.0658)    0.606  0.204 (0.0059)    0.164  0.510 (0.0039)
               330   91    0.438 (0.0688)    0.577  0.209 (0.0086)    0.125  0.522 (0.0016)
 CaII triplet  858   92    0.226 (0.0964)    0.403  0.265 (0.0248)   -0.172  0.664 (0.0120)
 WIRE  Johnson V+R   93    0.323 (0.0921)    0.504  0.271 (0.0152)   -0.083  0.677 (0.0022)
               LUT   94    0.516 (0.0591)    0.642  0.189 (0.0018)    0.232  0.473 (0.0073)
              TESS   95    0.276 (0.0920)    0.450  0.261 (0.0199)   -0.116  0.653 (0.0074)


          Teff = 18000 K,  log g = 3.0,  [M/H] = -4.5

 bolometric           0    0.704 (0.0081)    0.725  0.031 (0.0056)    0.657  0.078 (0.0071)
 Stromgren      u     1    0.384 (0.0688)    0.520  0.204 (0.0113)    0.079  0.509 (0.0020)
                v     2    0.391 (0.0951)    0.587  0.294 (0.0077)   -0.050  0.735 (0.0068)
